dis_along_flowline,area,mean_elevation,slope,consensus_ice_thickness,millan_ice_thickness,millan_v,hugonnet_dhdt,bin_elevation,dx,width
58.480437728410635,60000.0,6439.31591796875,0.2510831654071808,31.480891308452623,62.63737428361675,10.555952456892566,0.966064453125,6435.0,116.96087545682127,512.9920562380738
145.18220245752462,20000.0,6373.3720703125,0.4885389804840088,34.579842197067286,91.50317894577563,14.584005674825091,-0.29760631918907166,6375.0,56.442654001406694,354.34194854660007
195.72395489783958,30000.0,6344.263671875,0.5917066335678101,33.69769359823914,97.61645535732163,19.038607546265414,-0.35459399223327637,6345.0,44.6408508792232,672.030201242482
237.75553186733597,20000.0,6307.515625,0.6504980325698853,21.281704768550366,88.86577033944025,26.380941906212954,-0.18861347436904907,6315.0,39.42230305976958,507.3270318498966
277.03469575379177,40000.0,6281.74560546875,0.6540137529373169,22.47199277377473,100.87737251160075,25.21238088315127,-0.4606736898422241,6285.0,39.136024713142,1022.076214771192
313.4410351594705,40000.0,6249.98486328125,0.7277227640151978,15.526465273076104,111.18347017982602,15.923248882558724,-0.28782224655151367,6255.0,33.67665409821548,1187.7664533817092
347.73287758953643,20000.0,6219.0458984375,0.7099407911300659,26.281132630380434,93.3806661646379,38.06212094072342,-0.36019366979599,6225.0,34.90703076191637,572.9504791286928
381.80328179840586,40000.0,6198.0029296875,0.7343026399612427,21.221380583442567,140.99647073565933,22.014494312524022,-0.2151932418346405,6195.0,33.2337776558225,1203.5947406957532
422.47060758274074,70000.0,6158.85205078125,0.5576562285423279,19.190310010039966,101.86001251364253,13.352587198826317,-0.41515132784843445,6165.0,48.100873912847305,1455.2750148953871
518.5153075163772,130000.0,6135.2705078125,0.20541130006313324,33.15476636034405,147.44383616614923,19.81988983103171,-0.3964121639728546,6135.0,143.9885259544256,902.8497176306037
648.403240510519,270000.0,6105.31884765625,0.25352081656455994,41.906273920063086,147.12138429653987,14.346850867716592,-0.2615032494068146,6105.0,115.78734003385793,2331.8611509777147
751.2226838943726,220000.0,6072.3623046875,0.32224613428115845,49.905585162172834,167.0631673807993,17.959252429890228,-0.3352510631084442,6075.0,89.85154673384926,2448.483170263786
866.5602780547189,250000.0,6044.17578125,0.20989474654197693,60.15821175879447,244.0861075047027,43.37036933785168,-0.137653186917305,6045.0,140.82364158684322,1775.2700979957958
982.9488268107228,250000.0,6013.57421875,0.31536388397216797,54.319548151850086,218.76887878739836,51.17136526069551,-0.052808988839387894,6015.0,91.95345592516476,2718.7667661285027
1073.299517876871,270000.0,5981.63427734375,0.32597702741622925,53.35593098580898,213.65445152868372,47.290579880825675,-0.0020642534364014864,5985.0,88.7479262071316,3042.324610153013
1166.3383729352552,330000.0,5953.73388671875,0.2989904284477234,45.33329104833178,213.53050442127685,53.820933440727735,-0.16012483835220337,5955.0,97.32978390963672,3390.5346004505654
1266.8864639283065,330000.0,5924.54345703125,0.28143712878227234,61.24336174091197,266.20092293100674,87.516996857842,-0.15008625388145447,5925.0,103.76639807646576,3180.2202458335505
1365.6115320457125,390000.0,5894.06298828125,0.3099082410335541,56.5552396782352,308.39587997103916,92.80416274729798,-0.10852249711751938,5895.0,93.68373815834603,4162.942338411119
1456.207452211588,320000.0,5866.2880859375,0.3302689492702484,57.85171861830548,330.1012867233611,117.2102048040378,-0.11457686126232147,5865.0,87.50810217340488,3656.80425071832
1538.1151998713954,350000.0,5835.3623046875,0.374584436416626,50.078714482232776,316.86446953992146,129.7731076085792,-0.13094010949134827,5835.0,76.30739314621,4586.711530419823
1614.8564081243649,370000.0,5805.76416015625,0.3707504868507385,51.406045650642284,298.7062257028781,91.7302280447515,-0.2382095456123352,5805.0,77.17502335972888,4794.297220686968
1693.1051714227858,420000.0,5773.3466796875,0.361575722694397,53.31935474637927,289.4104737736672,95.07859585075872,-0.294263631105423,5775.0,79.32250323711312,5294.840465946011
1778.0950256192934,420000.0,5744.9423828125,0.31957417726516724,56.62175689875362,287.46812775746486,67.10652064236963,-0.366199254989624,5745.0,90.65720515590192,4632.836400347131
1925.3187855627996,690000.0,5714.69384765625,0.14616036415100098,89.86649169562224,350.35406947941055,55.60906461543853,-0.41428354382514954,5715.0,203.79031473111044,3385.833133976044
2139.7883990686905,710000.0,5686.556640625,0.13246488571166992,103.45686382012076,340.8539239317541,59.18509604337289,-0.33925139904022217,5685.0,225.1489122806716,3153.4684880685145
2355.0537891512454,550000.0,5656.125,0.14504361152648926,108.94343757029588,353.15740178903593,61.09252625128554,-0.3760557770729065,5655.0,205.381867884438,2677.938445420449
2526.26649911205,480000.0,5625.06884765625,0.21550896763801575,90.10639476378793,323.4168726349071,85.24930416535997,-0.33984264731407166,5625.0,137.04355203717137,3502.536185502591
2670.552160095917,470000.0,5594.20068359375,0.1954558789730072,82.11186948412842,290.0683980995539,81.36421865293057,-0.44093212485313416,5595.0,151.52776993056253,3101.7416821707143
2872.321556416021,450000.0,5564.1650390625,0.11848482489585876,101.34424810410599,378.17861930533974,104.59221162198799,-0.6682831048965454,5565.0,252.0110227096459,1785.6361803605184
3063.596441264971,390000.0,5534.82373046875,0.22589440643787384,68.60370105067523,302.1549944120859,97.727352685025,-0.6477022767066956,5535.0,130.53874698825373,2987.618687921781
3176.3511467603357,370000.0,5503.8291015625,0.3059675693511963,61.25680455224221,283.65439792240085,87.51553643546329,-0.6006031036376953,5505.0,94.9706640024762,3895.9399082473815
3285.0509666969624,540000.0,5474.36865234375,0.24030503630638123,68.87743513020916,330.171154007732,86.7935198383394,-0.637412965297699,5475.0,122.42897587077732,4410.720551725966
3427.9530408277246,530000.0,5444.96630859375,0.1816033273935318,82.67225591304198,346.5149495003439,74.0596539986686,-0.5778833031654358,5445.0,163.3751723907475,3244.0669671178
3586.79092866688,600000.0,5414.484375,0.1920299381017685,87.56094426131342,352.968632874592,67.49757057819639,-0.756856381893158,5415.0,154.30060328756375,3888.5136364749296
3727.3510473934793,730000.0,5384.515625,0.23228642344474792,91.9067130292297,330.41422468703007,46.77945701275876,-0.9385740756988525,5385.0,126.81963416563482,5756.20648019353
3894.4660971483995,950000.0,5353.72314453125,0.1436445266008377,115.83855452850614,377.9153667167062,43.96013033400352,-1.1711325645446777,5355.0,207.41046534420533,4580.289612789981
4128.047835179451,1000000.0,5323.61376953125,0.11498487740755081,136.432137444731,446.9425273251099,61.733489406390454,-1.227752923965454,5325.0,259.7530107178976,3849.8110079118233
4386.787163391588,990000.0,5294.9609375,0.11588134616613388,140.7389523070723,455.6611417502607,47.59172958522392,-1.2085822820663452,5295.0,257.72564570637803,3841.294091189855
4653.1281575712155,1130000.0,5265.4501953125,0.10867833346128464,141.68749177701017,459.4967698447209,43.8160103614847,-1.1244843006134033,5265.0,274.9563426528758,4109.74334724328
4900.322369154406,930000.0,5234.9755859375,0.1358741819858551,137.4950039856802,458.1001935556057,45.95512347342661,-1.0627003908157349,5235.0,219.43208051350484,4238.213472814262
5107.430631285189,940000.0,5204.84130859375,0.15281563997268677,137.60963735828835,465.4480361270379,37.66697058821794,-1.2365095615386963,5205.0,194.78444374805989,4825.847392699514
5311.90771562464,1080000.0,5174.078125,0.139170303940773,142.60924517230654,470.74504752152916,25.79205934788079,-1.144546627998352,5175.0,214.1697249308443,5042.729547085768
5614.1519535223115,1370000.0,5144.22998046875,0.07670944184064865,166.17815756705642,551.9185215876831,22.5240412974686,-1.1158638000488281,5145.0,390.31875086449804,3509.951794438913
6053.3892612720765,1240000.0,5114.5302734375,0.061378587037324905,170.25301023012943,519.9591956885959,18.069891907320827,-0.9131088256835938,5115.0,488.15586463503206,2540.172288879662
6473.48347580491,1010000.0,5085.36865234375,0.0850139856338501,160.9725619291799,460.81966145019203,16.38447086545873,-0.7791225910186768,5085.0,352.0325644306344,2869.0527583251846
6868.044459464057,960000.0,5055.79052734375,0.06852836906909943,142.71302015330758,449.37119225336295,15.057371319449008,-0.8455958962440491,5055.0,437.0894028876581,2196.3470028275697
7351.248038445439,880000.0,5024.4482421875,0.05661616101861,172.85227026562447,596.9238834832811,16.675783002444767,-0.7666005492210388,5025.0,529.3177550751066,1662.517441673828
7947.7974415897825,650000.0,4996.38525390625,0.045164890587329865,181.85805792470973,714.9630772429729,23.947839216257357,-0.9941768050193787,4995.0,663.7810512135798,979.2385588766294
8510.12091053737,440000.0,4964.83154296875,0.06500314921140671,154.9257089556501,572.0097602923217,19.31999005930041,-0.7414290904998779,4965.0,460.865886681595,954.7246014847462
9016.559038137408,490000.0,4932.88818359375,0.05429339408874512,150.43963108377264,554.4306070473388,23.60172535362198,-0.7091522812843323,4935.0,552.0103685184831,887.6644859318312
9492.9761659238,490000.0,4905.50146484375,0.0747065469622612,139.78969302838192,561.2324431537444,19.64117376299648,-0.6909121870994568,4905.0,400.8238870543009,1222.4820321988898
9928.043332059526,420000.0,4875.7568359375,0.0638367161154747,135.69912709339226,565.6291401646267,18.252566406525727,-0.41868287324905396,4875.0,469.3104452171517,894.9300069502276
10324.000803394882,280000.0,4846.13623046875,0.0927264466881752,113.05696080996685,457.40036661444185,17.071437325493328,-0.19400671124458313,4845.0,322.60449745355885,867.9358229973466
10651.053281724378,490000.0,4816.08935546875,0.09025176614522934,94.47872753768802,474.6886873008491,15.96703970999586,-0.18569983541965485,4815.0,331.50045920543613,1478.127665869504
11272.77450244044,250000.0,4792.8203125,0.03288497030735016,95.01637107303804,444.3956117961173,6.04024961808443,-0.1212974563241005,4785.0,911.9419822266844,274.1402467178627
